"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","11266500",2012-01-23,135,"A"
"USGS","11266500",2012-01-24,102,"A"
"USGS","11266500",2012-01-25,120,"A"
"USGS","11266500",2012-01-26,147,"A"
"USGS","11266500",2012-01-27,150,"A"
"USGS","11266500",2012-01-28,131,"A"
"USGS","11266500",2012-01-29,127,"A"
"USGS","11266500",2012-01-30,121,"A"
"USGS","11266500",2012-01-31,118,"A"
"USGS","11266500",2012-02-01,116,"A"
"USGS","11266500",2012-02-02,110,"A"
"USGS","11266500",2012-02-03,104,"A"
"USGS","11266500",2012-02-04,102,"A"
"USGS","11266500",2012-02-05,97.9,"A"
"USGS","11266500",2012-02-06,95.3,"A"
"USGS","11266500",2012-02-07,104,"A"
"USGS","11266500",2012-02-08,105,"A"
"USGS","11266500",2012-02-09,102,"A"
"USGS","11266500",2012-02-10,107,"A"
"USGS","11266500",2012-02-11,115,"A"
"USGS","11266500",2012-02-12,111,"A"
"USGS","11266500",2012-02-13,119,"A"
"USGS","11266500",2012-02-14,108,"A"
"USGS","11266500",2012-02-15,115,"A"
"USGS","11266500",2012-02-16,103,"A"
"USGS","11266500",2012-02-17,102,"A"
"USGS","11266500",2012-02-18,109,"A"
"USGS","11266500",2012-02-19,101,"A"
"USGS","11266500",2012-02-20,95.8,"A"
"USGS","11266500",2012-02-21,93.5,"A"
"USGS","11266500",2012-02-22,99,"A"
"USGS","11266500",2012-02-23,106,"A"
"USGS","11266500",2012-02-24,123,"A"
"USGS","11266500",2012-02-25,146,"A"
"USGS","11266500",2012-02-26,131,"A"
"USGS","11266500",2012-02-27,126,"A"
"USGS","11266500",2012-02-28,111,"A"
"USGS","11266500",2012-02-29,111,"A"
"USGS","11266500",2012-03-01,109,"A"
"USGS","11266500",2012-03-02,104,"A"
"USGS","11266500",2012-03-03,126,"A"
"USGS","11266500",2012-03-04,161,"A"
"USGS","11266500",2012-03-05,187,"A"
"USGS","11266500",2012-03-06,199,"A"
"USGS","11266500",2012-03-07,156,"A"
"USGS","11266500",2012-03-08,164,"A"
"USGS","11266500",2012-03-09,172,"A"
"USGS","11266500",2012-03-10,203,"A"
"USGS","11266500",2012-03-11,210,"A"
"USGS","11266500",2012-03-12,199,"A"
"USGS","11266500",2012-03-13,196,"A"
"USGS","11266500",2012-03-14,188,"A"
"USGS","11266500",2012-03-15,210,"A"
"USGS","11266500",2012-03-16,282,"A"
"USGS","11266500",2012-03-17,303,"A"
"USGS","11266500",2012-03-18,270,"A"
"USGS","11266500",2012-03-19,238,"A"
"USGS","11266500",2012-03-20,263,"A"
"USGS","11266500",2012-03-21,420,"A"
"USGS","11266500",2012-03-22,508,"A"
"USGS","11266500",2012-03-23,464,"A"
"USGS","11266500",2012-03-24,439,"A"
"USGS","11266500",2012-03-25,409,"A"
"USGS","11266500",2012-03-26,355,"A"
"USGS","11266500",2012-03-27,314,"A"
"USGS","11266500",2012-03-28,296,"A"
"USGS","11266500",2012-03-29,287,"A"
"USGS","11266500",2012-03-30,384,"A"
"USGS","11266500",2012-03-31,696,"A"
"USGS","11266500",2012-04-01,600,"A"
"USGS","11266500",2012-04-02,514,"A"
"USGS","11266500",2012-04-03,559,"A"
"USGS","11266500",2012-04-04,710,"A"
"USGS","11266500",2012-04-05,616,"A"
"USGS","11266500",2012-04-06,466,"A"
"USGS","11266500",2012-04-07,444,"A"
"USGS","11266500",2012-04-08,467,"A"
"USGS","11266500",2012-04-09,518,"A"
"USGS","11266500",2012-04-10,585,"A"
"USGS","11266500",2012-04-11,600,"A"
"USGS","11266500",2012-04-12,536,"A"
"USGS","11266500",2012-04-13,488,"A"
"USGS","11266500",2012-04-14,465,"A"
"USGS","11266500",2012-04-15,508,"A"
"USGS","11266500",2012-04-16,654,"A"
"USGS","11266500",2012-04-17,887,"A"
"USGS","11266500",2012-04-18,1040,"A"
"USGS","11266500",2012-04-19,1200,"A"
"USGS","11266500",2012-04-20,1700,"A"
"USGS","11266500",2012-04-21,2250,"A"
"USGS","11266500",2012-04-22,2690,"A"
"USGS","11266500",2012-04-23,3000,"A"
"USGS","11266500",2012-04-24,3090,"A"
"USGS","11266500",2012-04-25,2690,"A"
"USGS","11266500",2012-04-26,3650,"A"
"USGS","11266500",2012-04-27,2540,"A"
"USGS","11266500",2012-04-28,2110,"A"
"USGS","11266500",2012-04-29,2180,"A"
"USGS","11266500",2012-04-30,2200,"A"
"USGS","11266500",2012-05-01,2250,"A"
"USGS","11266500",2012-05-02,2320,"A"
"USGS","11266500",2012-05-03,2110,"A"
"USGS","11266500",2012-05-04,1930,"A"
"USGS","11266500",2012-05-05,1680,"A"
"USGS","11266500",2012-05-06,1600,"A"
"USGS","11266500",2012-05-07,1570,"A"
"USGS","11266500",2012-05-08,1570,"A"
"USGS","11266500",2012-05-09,1670,"A"
"USGS","11266500",2012-05-10,1860,"A"
"USGS","11266500",2012-05-11,1810,"A"
"USGS","11266500",2012-05-12,1790,"A"
"USGS","11266500",2012-05-13,1870,"A"
"USGS","11266500",2012-05-14,1870,"A"
"USGS","11266500",2012-05-15,1600,"A"
"USGS","11266500",2012-05-16,1530,"A"
"USGS","11266500",2012-05-17,1640,"A"
"USGS","11266500",2012-05-18,1350,"A"
"USGS","11266500",2012-05-19,1200,"A"
"USGS","11266500",2012-05-20,1200,"A"
"USGS","11266500",2012-05-21,1220,"A"
"USGS","11266500",2012-05-22,1180,"A"
"USGS","11266500",2012-05-23,1100,"A"
"USGS","11266500",2012-05-24,944,"A"
"USGS","11266500",2012-05-25,779,"A"
"USGS","11266500",2012-05-26,699,"A"
"USGS","11266500",2012-05-27,615,"A"
"USGS","11266500",2012-05-28,629,"A"
"USGS","11266500",2012-05-29,553,"A"
"USGS","11266500",2012-05-30,543,"A"
"USGS","11266500",2012-05-31,599,"A"
"USGS","11266500",2012-06-01,673,"A"
"USGS","11266500",2012-06-02,695,"A"
"USGS","11266500",2012-06-03,638,"A"
"USGS","11266500",2012-06-04,637,"A"
"USGS","11266500",2012-06-05,766,"A"
