"Date","Qob.L3","Qsim.L3","SurfaceFlow.L3","Baseflow.L3","DirectRunoff.L3","Eta.L3","StSur.L3","StBase.L3","Impulse.L","Zs.L","Zb.L","Infil.L3","Rech.L3","RecessCount.T","AdjPctEr","Weight","CB0.05","CB0.95"
"2009-12-06",244689.889549703,104244.981406098,0.00212459771187408,104244.9792815,0,140444.908143605,0.0560056176978933,16598015.8915661,0,1.26159519514675e-08,3.75927665802665,0,0.0573335096763846,24,0.585171402970568,0.278588027252714,75026.6038773667,196876.281881827
"2009-12-07",227561.597281223,102962.50025609,0.00103053508626773,102962.499225555,0,124599.097025134,0.0271653517453817,16495053.4201503,0,6.11932860356271e-09,3.7370589749193,0,0.0278097308662439,25,0.560305414774841,0.288337112419919,73879.3985216216,204184.432948295
"2009-12-08",183517.417162277,101810.187950086,0.000499857866820707,101810.187450228,0,81707.2292121915,0.0131764131020383,16393243.2461892,0,2.96814794048796e-09,3.71495929231833,0,0.0134890807765227,26,0.464506510004421,0.297954449480373,73052.5718627419,201899.2880247
"2009-12-09",141920.135938828,100670.087164282,0.000242453411813315,100670.086921829,0,41250.0487745451,0.00639112504925514,16292573.1658102,0,1.4396801462807e-09,3.69297705427644,0,0.00654283464096986,27,0.322209107905681,0.307441818864068,72234.5074208367,199638.35970736
"2009-12-10",146813.933729822,99430.5922862297,0.000117600392697496,99430.5921686293,0,47383.3414435918,0.00309995352418241,16193142.5768151,0,6.98303708168618e-10,3.66675261604879,0,0.00317357113237523,28,0.351908298329277,0.316800976940454,71345.1240450115,197180.323449616
"2009-12-11",166389.124893798,134751.593506487,20114.618809272,104633.636171373,10003.3385258423,31637.531387311,497276.097349892,16631325.96062,0.0365633112289298,0.112537693674762,3.76819689638005,1060207.73303544,542817.019976225,0,0.221069927917575,0,NA,NA
"2009-12-12",190858.113848768,170572.755746095,30873.8241345537,110569.746600145,29129.1850113958,20285.3581026735,800810.521609479,17353907.1777389,0.0407151583808807,0.181749098956195,3.93204608348791,1167559.2121132,833150.963719058,0,0.136186262937348,0,NA,NA
"2009-12-13",185964.316057774,176659.501019218,30963.8013718383,117482.824361077,28212.8752863023,9304.81503855617,832066.288535333,18071978.1930814,0.0313101039070731,0.188898683842003,4.09263827977548,897773.408001255,835553.839703563,1,0.0826263910965543,0.013513894328755,NA,NA
"2009-12-14",185964.316057774,136417.139670365,15430.2047279386,120986.934942427,0,49547.1763874085,400266.042019195,18367361.2999271,0,0.0905012234312895,4.16045889021104,0,416370.0417882,2,0.291600604475416,0.0268451633175814,109673.164663931,217210.739821175
"2009-12-15",195751.911639762,175142.437232366,24990.6949116286,131044.629428693,19107.1128920444,20609.4744073965,652322.15857453,18910659.9292972,0.0329755588996597,0.147841265827698,4.28408206609964,951390.070265664,674343.2587987,0,0.134494455266297,0,NA,NA
"2009-12-16",200645.709430756,190949.652314196,28526.5562528385,137880.691158447,24542.4049029111,9696.05711656006,760113.694716406,19542517.2439811,0.0315192296797499,0.172446306944032,4.42644850873604,906056.098237097,769738.005842383,1,0.078661039068408,0.013513894328755,NA,NA
"2009-12-17",200645.709430756,154339.992550272,14086.2909502797,140253.701599993,0,46305.7168804838,365943.006477601,19782347.9396696,0,0.0827141396528532,4.48353067733896,0,380084.397288525,2,0.255303968124137,0.0268451633175814,113206.343596512,267588.801547986
"2009-12-18",195751.911639762,150306.714590322,6756.51138896411,143550.203201358,0,45445.1970494404,176880.103630479,19821104.1279264,0,0.0399098262311379,4.48875260362054,0,182306.391458158,3,0.25722573612451,0.0399962749460244,112037.193155976,248394.171977402
"2009-12-19",195996.601529312,147285.875400347,3260.03748082218,144025.837919525,0,48710.7261289644,85656.7465346972,19765041.6096219,0,0.0193105453682403,4.47831420758259,0,87963.3196149598,4,0.273032930143716,0.0529696638416151,109785.488401848,243401.987487736
"2009-12-20",187921.835174172,144967.935780719,1577.38350728433,143390.552273434,0,42953.8993934531,41517.8516591671,19664212.5687167,0,0.0093559990280266,4.45750279276232,0,42561.5113682458,5,0.254772622231369,0.0657677317305848,114642.049035341,229135.596467242
"2009-12-21",188655.904842821,142736.155035819,764.245560109846,141971.909475709,0,45919.7498070014,20132.3969607164,19542861.8683793,0,0.00453591363718351,4.42644850873604,0,20621.2091383409,6,0.269003870452349,0.0783928478824908,112877.135185841,225608.054949784
"2009-12-22",187921.835174172,140624.218083361,370.516483368039,140253.701599993,0,47297.6170908109,9764.39180105429,19412605.6554556,0,0.00219974739559567,4.40071851629159,0,9997.48867629408,7,0.277102093448132,0.0908473495488317,111206.994969252,222269.937933103
"2009-12-23",185719.626168224,138736.960047631,179.68654928364,138557.273498347,0,46982.6661205931,4736.27919243374,19278896.8080166,0,0.00106695155878363,4.37001988297811,0,4848.42605933691,8,0.278637431191415,0.103133542395736,109714.533018205,219286.947291927
"2009-12-24",181070.51826678,136814.806389507,87.1540269735002,136727.652362533,0,44255.711877273,2297.46343465793,19144520.8173849,0,0.000517542732904957,4.33951371492927,0,2351.66173080231,9,0.271009764230906,0.115253700930805,109992.870587066,217843.926255634
"2009-12-25",176176.720475786,135111.858921426,42.2755212569914,135069.583400169,0,41064.8615543602,1114.46924417849,19010591.9526539,0,0.00025105041342345,4.30919894161809,0,1140.71866922245,10,0.260808707280427,0.127210068924183,108623.778414834,215132.401293944
"2009-12-26",161495.327102804,133304.095723469,20.5070739370397,133283.588649532,0,28191.2313793346,540.6178450713,18877861.7083295,0,0.000121781389313357,4.27907449771375,0,553.344325170152,11,0.207004484743838,0.139004859823943,107170.419171546,212253.983064398
"2009-12-27",156601.52931181,131529.905616864,9.94772293241387,131519.957893932,0,25071.6236949455,262.248418330614,18746610.1721394,0,5.90748062920241e-05,4.2491393230601,0,268.421703808272,12,0.194097227891007,0.150640257165854,101666.045868379,216246.004999966
"2009-12-28",156601.52931181,129783.252322136,4.82553047384736,129778.426791662,0,26818.2769896738,127.213830277352,18616961.9544053,0,2.86565045450192e-05,4.21939236265414,0,130.209057579415,13,0.204799225475002,0.162118414977613,100315.970133547,213374.363031293
"2009-12-29",161495.327102804,128061.074748682,2.34080896130853,128058.733939721,0,33434.2523541215,61.7097973167706,18488966.3836896,0,1.3900894357951e-05,4.1898325666247,0,63.1632239992724,14,0.238194014944207,0.173441458177616,98984.8129084655,210542.961165586
"2009-12-30",166389.124893798,126361.756338923,1.13549571379774,126360.62084321,0,40027.3685548744,29.934496248092,18362636.4026518,0,6.74311318197335e-06,4.16045889021104,0,30.6398053548809,15,0.269567287389435,0.184611482968333,97671.3246748863,207749.141648953
"2009-12-31",166389.124893798,124684.382696789,0.550811762079488,124683.831885027,0,41704.7421970083,14.520704487305,18237967.4337467,0,3.27096668267172e-06,4.13127029374171,0,14.8629799987074,16,0.279263326879414,0.195630557224379,93075.583014257,207674.753557776
"2010-01-01",171282.922684792,123028.38148505,0.267189185998277,123028.114295864,0,48254.5411997423,7.04370647086102,18114946.5292597,0,1.58668111420894e-06,4.1022657426133,0,7.20980883044574,17,0.308400174767388,0.206500720875329,91839.3954908377,204916.512019412
"2010-01-02",170793.542905692,121528.013280729,0.129608179010264,121527.88367255,0,49265.5296249634,3.41674531656812,17993422.1429401,0,7.69663686381558e-07,4.07823513060526,0,3.49735297528263,18,0.314949848508534,0.217223986283363,90719.3863739559,202417.493374584
"2010-01-03",171282.922684792,120046.594369294,0.062870042347466,120046.531499252,0,51236.3283154976,1.65738009042557,17873377.3079361,0,3.73345137505046e-07,4.04956532557498,0,1.69649518379509,19,0.325162188729084,0.227802338615814,83192.3305972339,205247.865298743
"2010-01-04",166389.124893798,118449.198479377,0.0304967286627662,118449.167982648,0,47939.926414421,0.803950663643388,17754928.9628861,0,1.81099719342793e-07,4.02107666184749,0,0.822932698119416,20,0.315305739184413,0.238237736212671,82085.334703957,202516.741619932
"2010-01-05",161495.327102804,117001.860487669,0.0147931456630411,117001.845694523,0,44493.4666151352,0.389972915185539,17637927.5163762,0,8.78461679519296e-08,3.99747374788058,0,0.399184602794808,21,0.303982746067918,0.248532110949127,81082.3289850132,200042.17718331
"2010-01-06",156601.52931181,115572.780158431,0.00717572154815483,115572.77298271,0,41028.7491533786,0.189163626456888,17522354.937027,0,4.26114212168032e-08,3.96931454298239,0,0.193633567180496,22,0.291868845543512,0.258687368593213,80091.9758323516,204493.974979622
"2010-01-07",156601.52931181,114158.745700332,0.00348071749231265,114158.742219615,0,42442.7836114775,0.0917568653605417,17408196.2887335,0,2.06693558689309e-08,3.94598476550899,0,0.0939260436040339,23,0.30053283936526,0.268705389158615,79112.0494734899,201991.988554285
"2010-01-08",146813.933729822,112762.566352541,0.00168837805624406,112762.564664163,0,34051.3673772804,0.0445079567235985,17295433.7696298,0,1.00259618982195e-08,3.9181516372053,0,0.0455605305806992,24,0.265010075553003,0.278588027252714,78144.496712125,199521.594883536
"2010-01-09",156601.52931181,136045.304632422,14548.9999287118,116158.614584342,5337.69011936781,20556.2246793879,366261.602537092,17571878.8662623,0.0265211823286418,0.0827863984918766,3.97868108643449,773414.269174605,392603.711216758,0,0.166430724469222,0,NA,NA
"2010-01-10",161495.327102804,149457.401335227,19239.1244045614,118895.192645451,11323.0842852152,12037.9257675764,509898.387305621,17972144.3959268,0.023500233119908,0.115407890455205,4.07344420726939,682036.631483048,519160.722309958,1,0.110912171621975,0.013513894328755,NA,NA
"2010-01-11",166389.124893798,129205.999355444,9427.10314717052,119778.896208274,0,37183.1255383536,246088.62591896,18106748.157958,0,0.0555612651282359,4.1022657426133,0,254382.65823949,2,0.253126172592734,0.0268451633175814,99869.7824295868,212425.311579184
"2010-01-12",171282.922684792,125931.744695627,4538.52657114872,121393.218124478,0,45351.1779891649,119082.292699982,18107822.7464813,0,0.0268543622540304,4.1022657426133,0,122467.80664783,3,0.29207901809781,0.0399962749460244,94006.7256542616,209752.364162272
"2010-01-13",176176.720475786,123586.8189426,2193.60081812161,121393.218124478,0,52589.901533186,57696.4680081452,18045621.7522306,0,0.013003780209484,4.08783216211899,0,59192.2238737149,4,0.323861715866056,0.0529696638416151,92256.2631916218,205846.647445083
"2010-01-14",171282.922684792,121645.715593844,1062.21486983615,120583.500724008,0,49637.2070909474,27971.3268600041,17953701.1777849,0,0.0063025148724693,4.06865833923486,0,28662.9262783049,5,0.316172783633487,0.0657677317305848,90807.2499153104,202613.538768087
"2010-01-15",172995.75191164,120026.647081722,514.821452458711,119511.825629263,0,52969.1048299178,13564.4584703423,17848081.3990928,0,0.00305594370161851,4.0448046631795,0,13892.0469372031,6,0.331709035274813,0.0783928478824908,83178.5071201835,205213.760722813
"2010-01-16",171282.922684792,118434.529160028,249.625015876066,118184.904144152,0,52848.3935247639,6578.87294060719,17736632.4554625,0,0.00148206179114676,4.01634609081816,0,6735.96051385904,7,0.334224357990634,0.0908473495488317,82075.168860675,202491.66097106
"2010-01-17",167367.884451997,116861.700981302,121.062340889454,116740.638640412,0,50506.1834706947,3191.00960405571,17623158.6178178,0,0.000718835155535089,3.99276812405219,0,3266.80099566202,8,0.328282631783324,0.103133542395736,80985.198399583,199802.541568204
"2010-01-18",163697.536108751,115373.304450121,58.7181095704364,115314.586340551,0,48324.2316586296,1547.80880922439,17509428.5141625,0,0.00034866785375294,3.9646387017853,0,1584.48268526089,9,0.322545601164427,0.115253700930805,79953.7390988649,204141.02352818
"2010-01-19",159537.807986406,113932.026952859,28.48096268346,113903.545990175,0,45605.7810335474,750.777571562234,17396293.5184473,0,0.000169123003143511,3.94133361538853,0,768.550274978698,10,0.314259144761932,0.127210068924183,78954.9333046265,201590.833387734
"2010-01-20",156601.52931181,112524.138044622,13.8148266024494,112510.32321802,0,44077.3912671875,364.17221070161,17284155.9857635,0,8.20345198959253e-05,3.91352996374715,0,372.790534258175,11,0.310548317099157,0.139004859823943,77979.265813903,199099.720871618
"2010-01-21",156846.219201359,111138.48709048,6.70099659249618,111131.786093887,0,45707.7321108797,176.645153914794,17173205.0257298,0,3.97915459365222e-05,3.89049495414441,0,180.826060194319,12,0.320057804674533,0.150640257165854,77019.0092329059,196647.956094838
"2010-01-22",156112.14953271,109896.357789291,3.25037574510184,109893.107413546,0,46215.7917434191,85.6831824369747,17063399.629912,0,1.93011998626229e-05,3.86758178672887,0,87.7115957327178,13,0.324623991656246,0.162118414977613,79093.9802780778,207549.428491192
"2010-01-23",152931.180968564,108547.942970935,1.57662011887935,108546.366350817,0,44383.2379976287,41.5611900082693,16954895.8089335,0,9.36216985298901e-06,3.84024601272425,0,42.5453723098261,14,0.319609913531063,0.173441458177616,78123.5068502489,205002.822483963
"2010-01-24",151707.731520816,107214.612945979,0.76474962446103,107213.848196355,0,44493.1185748362,20.1594329106284,16847702.5977446,0,4.54115961678995e-06,3.81759888902075,0,20.6370074731798,15,0.322773916809324,0.184611482968333,77163.8901639503,202484.705503232
"2010-01-25",151218.351741716,105898.581454547,0.370945001649265,105898.210509546,0,45319.7702871687,9.77837921698306,16741814.3973438,0,2.20269968785226e-06,3.79058071855613,0,10.0101086919961,16,0.329012541063725,0.195630557224379,76216.7234796074,199999.25840182
"2010-01-26",151218.351741716,104596.6655129,0.179927707522593,104596.485585192,0,46621.6862288164,4.74300134421355,16637222.7672087,0,1.06841909579276e-06,3.76819689638005,0,4.85545016524692,17,0.337261653161697,0.206500720875329,75279.7159583042,197540.469820759
"2010-01-27",152441.801189465,103426.957938012,0.0872739028563606,103426.870664109,0,49014.8432514529,2.30058232051285,16533798.2516898,0,5.18234309207737e-07,3.74593185689146,0,2.35514512084433,18,0.349714051853419,0.217223986283363,74437.8606892087,195331.368959242
"2010-01-28",152931.180968564,102269.682264197,0.0423320127249034,102269.639932185,0,50661.4987043668,1.11588760935661,16431529.7541203,0,2.51367332183114e-07,3.72378504092986,0,1.14236269843134,19,0.358962721407633,0.227802338615814,73382.2760119831,202810.508961804
"2010-01-29",161495.327102804,132482.331736635,17764.7068093984,106849.576461514,7868.0484657219,29012.9953661691,442565.385275193,16804076.7896913,0.0323302734014522,0.100104851331289,3.80857367705899,939725.588229552,479396.61203257,0,0.211892970372296,0,NA,NA
